Date,Case,Category,Incident,Location,Synopsis,Disposition
"6/5/19 14:25","19-01501","ALL OTHER OFFENSES","WARRANT ARREST","CROSSROADS","OCCD 06/05/2019, 1457 ANGHILANTE, PAUL (MW-50-O) ARRESTED FOR TWO $15,000 MISDEMEANOR BPD WARRANTS, CROSSROADS TO BPD JAIL.","CLOSED BY ARREST"
"6/5/19 16:07","","TOW","ABANDONED AUTO","JACKSON AND OHLONE","","CLOSED"
"6/5/19 16:57","","SUSPICIOUS EVENT","SUSPICIOUS CIRCUMSTANCE","2155 KITTREDGE ST","","CLOSED"
"6/5/19 17:22","","ALL OTHER OFFENSES","DISTURBING THE PEACE","AMAZON STORE","","CLOSED"
"6/5/19 17:34","","ALL OTHER OFFENSES","RULE VIOLATION","ASUC","","CLOSED"
"6/5/19 18:21","","ALL OTHER OFFENSES","DISTURBING THE PEACE","ANNA HEAD","","CLOSED"
"6/5/19 18:44","","PEDESTRIAN STOP","PEDESTRIAN STOP","ANNA HEAD LOT","","FIELD IDENTIFICATION CARD"
"6/5/19 19:40","19-01502","LARCENY/THEFT","PETTY THEFT -BIKE REPORT","BOALT HALL","OCCD 6/5/2019 1000-1930 (MW-30-S) REPORTS THE THEFT OF HIS GREEN AND WHITE SCOTT CR10 BICYCLE, KROEBER PLAZA. LOSS: $600.","UNDER INVESTIGATION"
"6/5/19 20:22","19-01503","LARCENY/THEFT","AUTO BURGLARY -REPORT","LOWER HEARST PARKING STRUCTURE","OCCD 06/05/2019, 0900 - 06/05/2019, 2022 (FW-27-S) REPORTS AUTO BURGLARY VIA WINDOW SMASH TO HER RED 2013 HYUNDAI ELANTRA, 7GLD770, LOWER HEARST PARKING STRUCTURE. NO LOSS.","UNDER INVESTIGATION"
"6/5/19 20:44","","VEHICLE CODE VIOLATION","VEHICLE CODE VIOLATION","BAN TELE","","CLOSED BY CITATION"
"6/5/19 20:51","","TRAFFIC STOP","TRAFFIC STOP","DUR TELE","","CLOSED BY CITATION"
"6/5/19 20:56","","SUSPICIOUS EVENT","SUSPICIOUS CIRCUMSTANCE","UNIVERSITY VILLAGE ALBANY","","FIELD IDENTIFICATION CARD"
"6/5/19 21:09","","ALL OTHER OFFENSES","DISTURBING THE PEACE","PEOPLES PARK","","CLOSED"
"6/5/19 21:15","","PEDESTRIAN STOP","PEDESTRIAN STOP","PEOPLES PARK","","FIELD IDENTIFICATION CARD"
"6/5/19 21:32","","SUSPICIOUS EVENT","SUSPICIOUS PERSON","MLK","","CLOSED"
"6/5/19 22:17","","TRAFFIC STOP","TRAFFIC STOP","ADELINE/OREGON","","WARNING ISSUED"
"6/5/19 22:25","","TRAFFIC STOP","TRAFFIC STOP","SHAT CENTER","","WARNING ISSUED"
"6/5/19 22:38","19-01504","VANDALISM","MALICIOUS MISCHIEF - REPORT","RICHMOND FIELD STATION","OCCD UNK TIMEFRAME VANDALISM TO FENCE, RFS.","UNDER INVESTIGATION"
"6/5/19 22:50","","TRAFFIC STOP","TRAFFIC STOP","CHANNING E TELE","","CLOSED BY CITATION"
"6/5/19 23:09","","TRAFFIC STOP","TRAFFIC STOP","BAN SHAT","","CLOSED BY CITATION"
"6/5/19 23:08","","SUSPICIOUS EVENT","SUSPICIOUS CIRCUMSTANCE - REPORT","PEOPLES PARK","","CLOSED"
"6/5/19 23:32","","TRAFFIC STOP","TRAFFIC STOP","IFO 2042 UNI","","WARNING ISSUED"
"6/5/19 23:45","","TRAFFIC STOP","TRAFFIC STOP","FULTON CHANNING","","CLOSED BY CITATION"
"6/5/19 23:51","","ALL OTHER OFFENSES","DISTURBING THE PEACE","LHS VISTA LOT","","CLOSED"
"6/6/19 4:24","","PEDESTRIAN STOP","SUSPECT STOP"," LECONTE HALL","","CLOSED"
"6/6/19 6:20","01194","ALL OTHER OFFENSES","WARRANT ARREST"," TOUCHLESS","OCCD 06/06/2019, 0629 BENJAMIN, STEPHAN (MB-38-O) ARRESTED ON A $2,500 MISDEMEANOR UCPD WARRANT, TOUCHLESS TO BPD JAIL.","CLOSED BY ARREST"
"6/6/19 7:30","","ALL OTHER OFFENSES","RULE VIOLATION"," SATHER TOWER","","CLOSED"
"6/6/19 8:42","","SUPPLEMENT","SUPPLEMENT"," KRONE FIELD","","CLOSED"
"6/6/19 11:07","","PEDESTRIAN STOP","PEDESTRIAN STOP"," SHATTUCK AND HASTE","","FIELD IDENTIFICATION CARD"
"6/6/19 10:59","","LARCENY/THEFT","PETTY THEFT -REPORT"," UVA COMMUNITY CENTER","","CLOSED"
"6/6/19 11:19","","PEDESTRIAN STOP","PEDESTRIAN STOP"," TELEGRAPH AND HASTE","","CLOSED"
"6/6/19 11:51","-01505","ALL OTHER OFFENSES","WARRANT ARREST"," PEOPLES PARK","OCCD 06/06/2019, 1157 JOHNSON, DAVID (MO-51-O) ARRESTED FOR TWO $20,000. MISDEMEANOR BPD WARRANTS, PEOPLES PARK TO BPD JAIL.","CLOSED BY ARREST"
"6/6/19 12:06","-01506","LARCENY/THEFT","PETTY THEFT -REPORT"," MOFFITT LIBRARY","OCCD 01/24/2019, 2300-2345 (MA-20-S) REPORTS THEFT OF MOUNT BLANC WALLET AND CONTENTS, MOFFITT LIBRARY. LOSS $420","CLOSED"
"6/6/19 13:19","","ALL OTHER OFFENSES","RULE VIOLATION"," UVA-147","","CLOSED"
"6/6/19 13:54","","VEHICLE CODE VIOLATION","VEHICLE CODE VIOLATIO","N 2121 ALLSTON WAY","","CLOSED"
"6/6/19 14:17","-01507","TOW","EXPIRED REGISTRATION OVER 6 MO"," PEOPLES PARK","OCCD 06/06/2019, 1417 GOLD 2007 HONDA CIVIC, 6AYJ927, TOWED FOR REGISTRATION EXPIRED MORE THAN 6 MONTHS, PEOPLES PARK TO M&A TOW.","UNDER INVESTIGATION"
"6/6/19 14:18","-00857","ALL OTHER OFFENSES","WARRANT ARREST"," UPPER SPROUL PLAZA","OCCD 06/06/2019, 1421 DAWSON, EDDY (MB-40-O) ARRESTED FOR $7,500 MISDEMEANOR UCPD WARRANT, UPPER SPROUL TO BPD JAIL.","CLOSED BY ARREST"
"6/6/19 14:39","","DISORDERLY CONDUCT","LODGING"," KROEBER HALL","","CLOSED"
"6/6/19 15:00","","WELFARE CHECK","CHECK WELFARE- 911 CALL"," LBNL-70","","CLOSED"
"6/6/19 15:35","-01508","DISORDERLY CONDUCT","DRUNK IN PUBLIC"," EAST ASIAN LIBRARY","OCCD 06/06/2019, 1558 BOHAN, ADAM (MW-21-O) ARRESTED FOR PUBLIC INTOXICATION, EAST ASIAN LIBRARY TO BPD JAIL. TO BE RELEASED WHEN SOBER.","CLOSED BY ARREST"
"6/6/19 15:50","","FIRE","FIRE OF UNKNOWN TYPE"," BWW","","CLOSED"
"6/6/19 16:57","","ALL OTHER OFFENSES","RULE VIOLATION"," SATHER TOWER","","CLOSED"
"6/6/19 18:35","-01509","LARCENY/THEFT","AUTO BURGLARY -REPORT"," 600 GOODING WAY","OCCD 06/02/2019, 1800 - 06/06/2019, 1830 (FA-26-S) REPORTS AUTO BURGLARY VIA UNK MEANS TO HER BLACK 2014 VOLKSWAGON GTI, 7SXF425, 600 GOODING WAY-UVA. LOSS OF HER RAY BANS SUNGLASSES AND CHANEL PERFUME. LOSS: $295.","UNDER INVESTIGATION"
"6/6/19 18:58","","SUSPICIOUS EVENT","SUSPICIOUS CIRCUMSTANCE"," LBNL-62","","CLOSED"
"6/6/19 19:29","-01510","BURGLARY","BURGLARY -ATTEMPT"," 600 GOODING WAY","OCCD 04/04/2019 - 04/08/2018, UNK TIME (FA-26-S) REPORTS ATTEMPTED BURGLARY TO HER REAR PATIO STORAGE CLOSET AND REAR SLIDING WINDOW VIA UNK MEANS, 600 GOODING WAY-UVA.","UNDER INVESTIGATION"
"6/6/19 20:30","-01511","MISC. SERVICE","PROPERTY CONFISCATION"," FULTON CHANNING","OCCD 6/6/2019 2030 CONFISCATION OF FALSELY DISPLAYED VEHICLE REGISTRATION TAB, FULTON AND CHANNING.","CLOSED BY CITATION"
"6/6/19 20:31","","WELFARE CHECK","CHECK WELFARE- 911 CALL"," 1125 JACKSON STREET","","CLOSED"
"6/6/19 21:14","-01512","TRAFFIC STOP","TRAFFIC STOP"," CHANNING IFO MM","OCCD 6/6/2019 2114 GRANBERRY, SHAWN (MB-47-O) CITED AND RELEASED ON A FOSTER CITY PD MISDEMEANOR WARRANT, CHANNING WAY.","CLOSED BY ARREST"
"6/6/19 21:54","","TRAFFIC STOP","TRAFFIC STOP"," ADELINE/WARD","","CLOSED BY CITATION"
"6/6/19 21:56","","BIKE STOP","BIKE STOP"," 2232 CHANNING WAY","","FIELD IDENTIFICATION CARD"
"6/6/19 22:29","","TRAFFIC STOP","TRAFFIC STOP"," TELE BLAKE","","WARNING ISSUED"
"6/6/19 23:02","","ALL OTHER OFFENSES","DISTURBING THE PEACE"," UNIVERSITY VILLAGE  ALBANY","","CLOSED"
"6/7/19 1:05","","MISC. SERVICE","MISC SERVICE MOTORIST","UNI / MLK","","CLOSED"
"6/7/19 2:08","19-01513","MISC. SERVICE","FOUND PROPERTY","UNIT-1 DEUTSCH","FOUND DAMAGED CARD READER, UNIT-1 DEUTSCH. TO UCPD FOR SAFEKEEPING.","UNDER INVESTIGATION"
"6/7/19 2:18","19-01514","DRIVING UNDER THE INFLUENCE","MISDEMEANOR DRUNK DRIVING","BOW CHANNING","OCCD 6/7/2019 0256 MOSLEY, DEVON (MB-32-O) ARRESTED FOR DRUNK DRIVING AND DRUNK DRIVING WITH A BAC OVER .08, BOWDITCH AND CHANNING TO BPD JAIL.","CLOSED BY ARREST"
"6/7/19 3:48","","PEDESTRIAN STOP","PEDESTRIAN STOP","ESHLEMAN HALL","","CLOSED"
"6/7/19 6:05","","OUTSIDE ASSIST","OUTSDE ASSIST BPD COVER","NORTH CAMPUS LOTS","","CLOSED"
"6/7/19 6:09","","TRAFFIC STOP","TRAFFIC STOP","DWIGHT/DANA","","WARNING ISSUED"
"6/7/19 8:05","","PEDESTRIAN STOP","SUSPECT STOP","CHANNING TELEGRAPH","","FIELD IDENTIFICATION CARD"
"6/7/19 8:16","","TRAFFIC STOP","TRAFFIC STOP","SHATTUCK AND BLAKE","","CLOSED BY CITATION"
"6/7/19 8:36","","DISORDERLY CONDUCT","LODGING","MANVILLE APTS","","CLOSED"
"6/7/19 8:39","","PEDESTRIAN STOP","SUSPECT STOP","TELE DWIGHT","","CLOSED"
"6/7/19 8:44","19-01515","MISC. SERVICE","LOST UC KEYS","DAVIS HALL","OCCD 01/17/2019, UNKNOWN TIME (MXA-E) REPORTS THE LOSS OF 1 UC KEY, DAVIS HALL.","UNDER INVESTIGATION"
"6/7/19 8:51","","PEDESTRIAN STOP","PEDESTRIAN STOP","HASTE AND SHATTUCK","","FIELD IDENTIFICATION CARD"
"6/7/19 9:07","","MISC. SERVICE","FURNISH TRANSPORT","1 CYCLOTRON ROAD","","CLOSED"
"6/7/19 9:31","19-01516","MISC. SERVICE","CIVIL ADVICE","CALIFORNIA HALL","OCCD 03/22/2019 - 05/19/2019 (MA-35-E) GIVEN CIVIL ADVICE REGARDING SUSPICIOUS MAIL, CALIFORNIA HALL.","UNDER INVESTIGATION"
"6/7/19 10:18","","DISORDERLY CONDUCT","LODGING","KROEBER HALL","","CLOSED"
"6/7/19 10:30","","MISC. SERVICE","CAMPSITE INVESTIGATION","CKC-13","","CLOSED"
"6/7/19 10:41","","PEDESTRIAN STOP","PEDESTRIAN STOP","DWIGHT AND TELEGRAPH","","FIELD IDENTIFICATION CARD"
"6/7/19 11:29","","TRAFFIC STOP","TRAFFIC STOP","BANCROFT AND ELLSWORTH","","WARNING ISSUED"
"6/7/19 12:11","","DISORDERLY CONDUCT","LOITER IN RESTRM-LEWD CONDUCT","MLK","","FIELD IDENTIFICATION CARD"
"6/7/19 12:06","","VEHICLE CODE VIOLATION","VEHICLE CODE VIOLATION","725 KULA GULF WAY","","CLOSED"
"6/7/19 13:54","","TRAFFIC STOP","TRAFFIC STOP","GRID IRON WAY","","WARNING ISSUED"
"6/7/19 14:11","19-01517","FORGERY AND COUNTERFEITING","FRAUDULENT USE OF CREDIT CARD","WURSTER HALL","OCCURRED: 05/15/19 - 05/17/19 (MO-34-E) REPORTS FRAUDULENT USE TO UC BLU CARD, WURSTER HALL. UNKNOWN LOSS.","UNDER INVESTIGATION"
"6/7/19 14:12","19-01518","MEDICAL EVENT","MENTALLY ILL COMMITMENT","2120 OXFORD","OCCD 06/07/2019 1413 (MH-30-O) TRANSPORTED FOR PSYCHIATRIC EVALUATION, 2120 OXFORD TO JGP VIA PARAMEDICS PLUS.","CLOSED"
"6/7/19 15:05","","WELFARE CHECK","WELFARE CHECK","1995 UNIVERSITY AV","","CLOSED"
"6/7/19 18:29","","WELFARE CHECK","CHECK WELFARE- 911 CALL","MINOR HALL","","CLOSED"
"6/7/19 20:20","19-01519","MISC. SERVICE","CIVIL ADVICE","EVANS HALL","OCCD 6/7/2019 2010 (FH-49-E) GIVEN CIVIL ADVICE REGARDING UNWANTED CONTACT, EVANS HALL.","UNDER INVESTIGATION"
"6/7/19 20:29","","DISORDERLY CONDUCT","LODGING","DWINELLE HALL","","FIELD IDENTIFICATION CARD"
"6/7/19 20:28","","WELFARE CHECK","CHECK WELFARE- 911 CALL","660 KINKEAD WAY","","CLOSED"
"6/7/19 20:46","","DISORDERLY CONDUCT","LODGING","MLK","","CANCELLED"
"6/7/19 21:13","","SUSPICIOUS EVENT","SUSPICIOUS VEHICLE","LOWER HEARST PARKING STRUCTURE","","CLOSED"
"6/7/19 21:19","","TRAFFIC STOP","TRAFFIC STOP","UNI SACRAMENTO","","WARNING ISSUED"
"6/7/19 21:40","","PEDESTRIAN STOP","SUSPECT STOP","ZELLERBACH HALL","","FIELD IDENTIFICATION CARD"
"6/7/19 21:46","","TRAFFIC STOP","TRAFFIC STOP","BARROWS LANE","","WARNING ISSUED"
"6/7/19 22:23","","TRAFFIC STOP","TRAFFIC STOP","SHAT KITT","","WARNING ISSUED"
"6/7/19 22:28","","PEDESTRIAN STOP","PEDESTRIAN STOP","2200 BANCROFT WAY","","CLOSED"
"6/7/19 23:07","","TRAFFIC STOP","TRAFFIC STOP","CLAREMONT/GP","","WARNING ISSUED"
"6/7/19 23:45","","TRAFFIC STOP","TRAFFIC STOP","COLL S CHAN","","CLOSED BY CITATION"
"6/8/19 0:20","","TRAFFIC STOP","TRAFFIC STOP","FULTON DURANT","","WARNING ISSUED"
"6/8/19 0:36","","MAINTENANCE ISSUE","CAMPUS CONDITION -SECURITY","MLK","","CLOSED"
"6/8/19 0:56","","TRAFFIC STOP","TRAFFIC STOP","HASTE DANA","","WARNING ISSUED"
"6/8/19 1:05","","TRAFFIC STOP","TRAFFIC STOP","DANA CHAN","","CLOSED BY CITATION"
"6/8/19 5:16","","VEHICLE CODE VIOLATION","VEHICLE CODE VIOLATION","DWINELLE LOT","","CLOSED"
"6/8/19 8:30","19-01520","MOTOR VEHICLE THEFT","VEHICLE THEFT -REPORT","2227 PIEDMONT AV","OCCD 06/07/2019, 2300 - 06/08/2019, 0600 (MB-26-E) REPORTS THEFT OF HIS RED 2004 SUZUKI GSXR MOTORCYCLE, 2227 PIEDMONT.","UNDER INVESTIGATION"
"6/8/19 8:52","","WELFARE CHECK","CHECK WELFARE- 911 CALL","REC SPRT FAC LOT","","CLOSED"
"6/8/19 10:04","","VEHICLE CODE VIOLATION","VEHICLE CODE VIOLATION","UNIVERSITY VILLAGE ALBANY","","CLOSED BY CITATION"
"6/8/19 11:05","19-01521","TOW","OVER 5 UNPAID CITES ON LIC","OHLONE AND LIBERTY SHIP","OCCD 06/08/2019,1105 BLUE FORD EXPEDITION, 4WJG537, TOWED FOR HAVING MORE THAN 5 UNPAID CITATIONS, OHLONE AND LIBERTY SHIP,UVA TO EAST BAY TOW.","UNDER INVESTIGATION"
"6/8/19 11:43","","PEDESTRIAN STOP","PEDESTRIAN STOP","HEARST AND OXFORD","","FIELD IDENTIFICATION CARD"
"6/8/19 11:47","","PEDESTRIAN STOP","PEDESTRIAN STOP","STRUCTURE C","","FIELD IDENTIFICATION CARD"
"6/8/19 12:11","19-01524","LARCENY/THEFT","AUTO BURGLARY -REPORT","UVA-103","OCCD 06/07/2019, 1830- 06/08/2019,1200 (FB-58-O) REPORTS BURGLARY AND ATTEMPTED THEFT OF HER SILVER 1998 HONDA CRV, 845 OHLONE, UVA.","UNDER INVESTIGATION"
"6/8/19 12:13","19-01523","ALL OTHER OFFENSES","VIOLATION OF PROBATION","MLK","OCCD 06/08/2019,1224 SMITH, SAGE (MW-25-O) ARRESTED FOR PROBATION VIOLATION AND VIOLATION OF A COURT ORDER, MLK TO BPD JAIL.","CLOSED BY ARREST"
"6/8/19 16:04","","SUSPICIOUS EVENT","SUSPICIOUS PERSON","AMAZON STORE","","CLOSED"
"6/8/19 16:07","","MAINTENANCE ISSUE","CAMPUS CONDITION -ELEVATOR","LEWIS HALL","","CLOSED"
"6/8/19 16:19","19-01525","MEDICAL EVENT","INJURY OR ILLNESS","AMAZON STORE","OCCD 06/08/2019, 1619 (MOA-E) VICTIM OF A DOG BITE, AMAZON STORE. WILL SEEK OWN MEDICAL.","CLOSED"
"6/8/19 16:35","","WELFARE CHECK","CHECK WELFARE- 911 CALL","LIFE SCIENCE ADDITION","","CLOSED"
"6/8/19 16:40","19-01526","OUTSIDE ASSIST","OUTSIDE ASSIST -MISCELLANEOUS","ALBANY PD","OCCURED: 06/08/19 1230 OUTSIDE ASSIST TO ALBANY PD WITH A RESTRAINING ORDER VIOLATION, ALBANY PD PARKING LOT.","UNDER INVESTIGATION"
"6/8/19 17:58","","WELFARE CHECK","WELFARE CHECK","2410 TELEGRAPH AV","","CLOSED BY CITATION"
"6/8/19 18:36","","LARCENY/THEFT","AUTO BURGLARY -REPORT","OCEANVIEW ELEMENTARY","","CANCELLED"
"6/8/19 18:36","","MISC. SERVICE","SMOKE INVESTIGATION","BWW","","CLOSED"
"6/8/19 19:19","","WELFARE CHECK","CHECK WELFARE- 911 CALL","HAZ MAT FACILITY","","CLOSED"
"6/8/19 19:39","","WELFARE CHECK","CHECK WELFARE- 911 CALL","CESAR CHAVEZ CENTER","","CLOSED"
"6/8/19 20:09","","MEDICAL EVENT","INJURY OR ILLNESS","GREEK THEATER","","CLOSED"
"6/8/19 20:20","","OUTSIDE ASSIST","OUTSIDE ASSIST - BPD","LEROY/HEARST","","CLOSED"
"6/8/19 20:35","","TRAFFIC STOP","TRAFFIC STOP","HEARST / E SHATTUCK","","WARNING ISSUED"
"6/8/19 20:43","","TRAFFIC STOP","TRAFFIC STOP","HEARST W LECONTE","","WARNING ISSUED"
"6/8/19 21:00","","ALL OTHER OFFENSES","TRESPASS - FAIL TO LEAVE","MLK","","CLOSED"
"6/8/19 21:53","","SUSPICIOUS EVENT","SUSPICIOUS CIRCUMSTANCE","LAWRENCE HALL OF SCIENCE","","CLOSED"
"6/8/19 22:32","","SUSPICIOUS EVENT","SUSPICIOUS CIRCUMSTANCE","STILES HALL","","CLOSED"
"6/9/19 0:15","19-01527","MEDICAL EVENT","INJURY OR ILLNESS","CKC TRACK","OCCURED: 06/09/19 0015 (MW-55-O) VICTIM OF INJURY, CKC TRACK. BFD RESPONDED, TRANSPORTED TO ABH.","CLOSED"
"6/9/19 0:42","","PEDESTRIAN STOP","SUSPECT STOP","CESAR CHAVEZ CENTER","","CLOSED"
"6/9/19 1:17","","SUSPICIOUS EVENT","SUSPICIOUS VEHICLE","SATHER TOWER","","CLOSED"
"6/9/19 1:17","","ALL OTHER OFFENSES","DISTURBING PEACE-ENTERTAINMENT","LHS VISTA LOT","","CLOSED"
"6/9/19 1:30","","OUTSIDE ASSIST","OUTSIDE ASSIST - BPD / ALREADY CALLED","DURANT/DANA","","CLOSED"
"6/9/19 1:53","","OUTSIDE ASSIST","OUTSIDE ASSIST - BPD / NOT CALLED","B/T","","CLOSED"
"6/9/19 2:46","","MISC. SERVICE","CIVIL ADVICE","UCPD","","CLOSED"
"6/9/19 4:08","","PEDESTRIAN STOP","SUSPECT STOP","NORTH SPROUL LOT","","CLOSED"
"6/9/19 4:56","","PEDESTRIAN STOP","SUSPECT STOP","CESAR CHAVEZ CENTER","","FIELD IDENTIFICATION CARD"
"6/9/19 5:12","","PEDESTRIAN STOP","SUSPECT STOP","ASUC GARAGE","","CLOSED"
"6/9/19 5:57","19-01528","BURGLARY","BURGLARY -REPORT","2120 OXFORD","OCCD 06/09/2019 0553 - 0555 HRS BURGLARY VIA FORCED ENTRY TO BIKE ROOM, BERKELEY ART MUSEUM. UNKNOWN LOSS AND TAKE AT THIS TIME.","UNDER INVESTIGATION"
"6/9/19 9:15","","TRAFFIC STOP","TRAFFIC STOP","SHATTUCK CHANNING","","WARNING ISSUED"
"6/9/19 9:36","","TRAFFIC STOP","TRAFFIC STOP","PIEDMONT/WARRING","","WARNING ISSUED"
"6/9/19 10:02","19-01529","ALL OTHER OFFENSES","VIOLATION OF PROBATION","DANA/DURANT","OCCD 06/09/2019 1002 HRS OLIVE, LEW (MB-60-O) ARRESTED FOR A VIOLATION OF PROBATION AND A VIOLATION OF A COURT ORDER, DANA/DURANT. TO BPD JAIL.","CLOSED BY ARREST"
"6/9/19 10:16","19-01530","MEDICAL EVENT","INJURY OR ILLNESS","LHS VISTA LOT","OCCD 06/09/2019, 1016 (MB-18-O) VICTIM OF INJURY, LHS VISTA LOT. TRANSPORTED TO HIGHLAND VIA PARAMEDICS PLUS.","CLOSED"
"6/9/19 12:00","","WELFARE CHECK","CHECK WELFARE- 911 CALL","DOE LIBRARY","","CLOSED"
"6/9/19 14:14","19-01531","WELFARE CHECK","WELFARE CHECK","CAMPUS","OCCD 06/09/2019 1414 HRS (FW-41-O) REQUESTED A WELFARE CHECK FOR A STUDENT, CAMPUS. NO CONTACT MADE.","UNDER INVESTIGATION"
"6/9/19 14:35","","ALL OTHER OFFENSES","CRUELTY TO ANIMALS","PEOPLES PARK","","FIELD IDENTIFICATION CARD"
"6/9/19 15:25","","MAINTENANCE ISSUE","CAMPUS CONDITION -ELEVATOR","LIFE SCIENCE ADDITION","","CLOSED"
"6/9/19 15:35","","MISC. SERVICE","CIVIL ADVICE","UNIT-3 SPENS/BLACK","","CLOSED"
"6/9/19 15:55","19-01532","ALL OTHER OFFENSES","VIOLATION OF PROBATION","PEOPLES PARK","OCCD 06/09/2019 1555 HRS PINCETL, JENNIFER (FW-41-O) ARRESTED FOR A VIOLATION OF PROBATION, A VIOLATION OF A COURT ORDER AND PROVIDING FALSE INFORMATION TO A POLICE OFFICER, PEOPLES PARK. TO SANTA RITA JAIL.","CLOSED BY ARREST"
"6/9/19 16:43","","TRAFFIC STOP","TRAFFIC STOP","FULTON HASTE","","CLOSED BY CITATION"
"6/9/19 17:30","","WELFARE CHECK","CHECK WELFARE- 911 CALL","FOOTHILL COMPLEX","","CLOSED"
"6/9/19 18:01","","WELFARE CHECK","CHECK WELFARE- 911 CALL","CKC-2","","CLOSED"
"6/9/19 18:22","","MAINTENANCE ISSUE","CAMPUS CONDITION -UTILITIES","CKC-2","","CLOSED"
"6/9/19 20:02","19-01533","SEX OFFENSES","INDECENT EXPOSURE REPORT","HAAS BUSINESS SCHOOL","OCC 06/09/2019 1500-1515 (MW-40-O) REPORTS WITNESSING INDECENT EXPOSURE, HAAS BUSINESS LONG LIBRARY.","UNDER INVESTIGATION"
"6/9/19 20:56","19-01534","MEDICAL EVENT","INJURY OR ILLNESS","HEARST MINING CIRCLE","(MW-60-O) VICITM OF INJURY, HEARST MINING CIRCLE. BFD RESPONDED AND DID LIFT ASSIST NO TRANSPORT NEEDED","CLOSED"
"6/9/19 21:41","","VEHICLE CODE VIOLATION","VEHICLE CODE VIOLATION","420 KULA GULF WAY","","CLOSED BY CITATION"
"6/10/19 0:08","19-01535","LARCENY/THEFT","GRAND THEFT -ATTEMPT","EVANS HALL","OCC 0005-0007 (MH-31-S) REPORTS ATTEMPTED THEFT OF HIS RIDLEY BLACK ROAD BIKE, EVANS HALL. WORTH $1,000.","UNDER INVESTIGATION"
"6/10/19 0:21","","WELFARE CHECK","CHECK WELFARE- 911 CALL","EVANS HALL","","CLOSED"
"6/10/19 1:10","","PEDESTRIAN STOP","SUSPECT STOP","BEARS LAIR PATIO","","CLOSED"
"6/10/19 1:21","","MAINTENANCE ISSUE","CAMPUS CONDITION -SECURITY","UNIT-1 PUTNAM","","CLOSED"
"6/10/19 1:27","","SUSPICIOUS EVENT","SUSPICIOUS CIRCUMSTANCE","DAVIS HALL","","CLOSED"
"6/10/19 1:50","","PEDESTRIAN STOP","SUSPECT STOP","BIKE BUREAU","","CLOSED"
"6/10/19 2:22","","SUSPICIOUS EVENT","SUSPICIOUS PERSON","2000 CARLETON","","CLOSED"
"6/10/19 3:23","","PEDESTRIAN STOP","SUSPECT STOP","SIGNPOST-14","","CLOSED"
"6/10/19 3:31","","PEDESTRIAN STOP","SUSPECT STOP","SIGNPOST-15","","CLOSED"
"6/10/19 8:11","","ALL OTHER OFFENSES","DISTURBING THE PEACE","MOFFITT LIBRARY","","CLOSED"
"6/10/19 8:44","","MISC. SERVICE","PROVIDE TRANSPORTATION","BERKELEY AUTO","","CLOSED"
"6/10/19 8:55","","TRAFFIC STOP","TRAFFIC STOP","JACKSON N/BUCH","","CLOSED BY CITATION"
"6/10/19 9:14","","TRAFFIC STOP","TRAFFIC STOP","S CAMPUS DR E OF MINOR","","CLOSED BY CITATION"
"6/10/19 9:33","","MISC. SERVICE","PROVIDE TRANSPORTATION","STRAWBERRY REC CENTER","","CLOSED"
"6/10/19 9:40","","LARCENY/THEFT","AUTO BURGLARY -REPORT","OCEANVIEW ELEMENTARY","","CLOSED"
"6/10/19 10:10","19-01536","MEDICAL EVENT","INJURY OR ILLNESS","685 LIBERTY SHIP WAY","OCCD 06/10/2019 1010 HRS (MW-44-O) VICTIM OF ILLNESS, UVA-163. TRANSPORTED VIA AFD TO ALTA BATES HOSPITAL.","CLOSED"
"6/10/19 10:47","","TRAFFIC STOP","TRAFFIC STOP","CHANNING/BOWDITCH","","WARNING ISSUED"
"6/10/19 10:56","19-01537","ALL OTHER OFFENSES","VIOLATION OF PROBATION","ASUC","OCCD 06/10/2019 1104 HRS WHITMORE, HENRY (MB-51-O) ARRESTED FOR A VIOLATION OF PROBATION AND A VIOLATION OF A COURT ORDER, ASUC. TO BPD JAIL.","CLOSED BY ARREST"
"6/10/19 11:53","","MISC. SERVICE","SMOKE INVESTIGATION","BOTANICAL GARDENS","","CLOSED"
"6/10/19 12:18","","SUSPICIOUS EVENT","SUSPICIOUS VEHICLE","BOW S DUR","","CLOSED BY CITATION"
"6/10/19 12:28","19-01540","LARCENY/THEFT","PETTY THEFT -REPORT","TANG CENTER","OCCD 05/30/2019 - 06/10/2019 UNK - 0830 HRS (FWA-E) REPORTS THEFT OF HER CANON T-5I CAMERA, THREE CAMERA LENSES AND A CAMERA BAG, TANG CENTER. LOSS $875.","UNDER INVESTIGATION"
"6/10/19 12:51","","ANIMAL CASE","ANIMAL CASE","TOLMAN HALL","","CLOSED"
"6/10/19 13:25","19-01538","MISC. SERVICE","LOST UC KEYS","CAMPUS","OCCD 06/10/2019 1325 HRS (FW-A-E) REPORTS THE LOSS OF 1 UC KEY, CAMPUS.","UNDER INVESTIGATION"
"6/10/19 14:04","19-01539","MEDICAL EVENT","INJURY OR ILLNESS","GOLDEN BEAR REC CENTER","OCCD 06/10/2019 1404 HRS (MW-55-O) VICTIM OF INJURY, GOLDEN BEAR REC CENTER. BFD RESPONDED, VICTIM WILL SEEK OWN MEDICAL.","CLOSED"
"6/10/19 14:24","","SUSPICIOUS EVENT","SUSPICIOUS PERSON","CKC-1","","CLOSED"
